,text,label,pred_label,label_mapping,pred_label_mapping
0,Can you freeze my card because someone used it while I was out of town. I did not make these purchases.,22,16,compromised_card,card_payment_not_recognised
1,I made a transfer and am still waiting.,5,48,balance_not_updated_after_bank_transfer,pending_transfer
2,How do I know when my card will arrive?,11,12,card_arrival,card_delivery_estimate
3,Can I get my card expedited?,12,11,card_delivery_estimate,card_arrival
4,How long does it take for a transfer?,67,5,transfer_timing,balance_not_updated_after_bank_transfer
5,Can I change my currency from USD to EUR?,33,36,exchange_via_app,fiat_currency_support
6,On my last transaction it seem that my top-up was not successful.,61,59,top_up_reverted,top_up_failed
7,can I have a non virtual card?,43,40,order_physical_card,getting_virtual_card
8,Why was I unable to do a transfer?,27,35,declined_transfer,failed_transfer
9,Can you tell me what the transfer policy is?,56,27,top_up_by_bank_transfer_charge,declined_transfer
10,I am waiting for my card to arrive.,12,11,card_delivery_estimate,card_arrival
11,When will I get my card?,11,12,card_arrival,card_delivery_estimate
12,Can I get a copy of the card by email?,40,43,getting_virtual_card,order_physical_card
13,Why did I get a fee?,19,15,cash_withdrawal_charge,card_payment_fee_charged
14,I need to verify my identity,69,74,verify_my_identity,why_verify_identity
15,Can I add funds to the card directly from my bank account?,65,62,transfer_into_account,topping_up_by_card
16,Can you look to make sure the exchange rate is correct,76,32,wrong_exchange_rate_for_cash_withdrawal,exchange_rate
17,Can you freeze my account?  I just saw there are transactions on my account that I don't recognize.  How can I fix this?,16,22,card_payment_not_recognised,compromised_card
18,I see a charge on my account that I don't recall making. I feel like my account may have been compromised.,16,22,card_payment_not_recognised,compromised_card
19,What do i need to verify my id?,68,69,unable_to_verify_identity,verify_my_identity
20,Why is a money transfer not showing?,48,5,pending_transfer,balance_not_updated_after_bank_transfer
21,What are the fees for top-ups?,56,57,top_up_by_bank_transfer_charge,top_up_by_card_charge
22,The new card that was just sent to me was declined multiple times yesterday when I tried to use it at a restaurant to pay for my dinner.  I am really disappointed  and embarrassed that my card was denied when I tried to use it to pay for my friend's birthday dinner.,25,14,declined_card_payment,card_not_working
23,What other methods are there to verify my identity?,74,69,why_verify_identity,verify_my_identity
24,Can I purchase extra non-virtual cards?,39,29,getting_spare_card,disposable_card_limits
25,My card is being declined online. Could you tell me what might be broken or wrong with the account?,27,25,declined_transfer,declined_card_payment
26,Can I reactivate my PIN?,49,38,pin_blocked,get_physical_card
27,Where do I find the exchange rate?,31,32,exchange_charge,exchange_rate
28,How do I accept exchanges to EU?,36,24,fiat_currency_support,country_support
29,Why didn`t my topup go through?,59,61,top_up_failed,top_up_reverted
30,Is it a good time to exchange?,32,33,exchange_rate,exchange_via_app
31,Will a transfer incur a fee?,56,64,top_up_by_bank_transfer_charge,transfer_fee_charged
32,Can I exchange currencies?,36,33,fiat_currency_support,exchange_via_app
33,How do I freeze my card using the app?,22,41,compromised_card,lost_or_stolen_card
34,How many virtual cards do I get?,29,40,disposable_card_limits,getting_virtual_card
35,"When I got cash, I'm pretty sure there was a glitch that overcharged me.",19,76,cash_withdrawal_charge,wrong_exchange_rate_for_cash_withdrawal
36,How long until my transfer will be available to me,5,67,balance_not_updated_after_bank_transfer,transfer_timing
37,Good morning. I tried to make a purchase with my credit card last night and again this morning. Both times it was declined. Can you investigate?,27,53,declined_transfer,reverted_card_payment?
38,Cannot access my top up.,62,59,topping_up_by_card,top_up_failed
39,Are cheques accepted to my account? Mine didn't seem to work.,6,58,balance_not_updated_after_cheque_or_cash_deposit,top_up_by_cash_or_cheque
